X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.08344032,42.34210006,23603.52715,St. Botolph Assisted Living,352-374 MASSACHUSETTS AVE,,,self,,Carmen Schweizer,22,Below Grade
-71.05730494,42.36711886,69375.4304,NORTH END GARAGE,600 Commercial St,,,,,Carmen Schweizer,200,Stand-alone parking 
-71.06750901,42.34200571,6236.663902,WILKES PASSAGE LOFTS,1280 Washington St,1283 Washington Street Realty Trust,"257 West Newton Street, Boston, MA 02116",,General public,Carmen Schweizer,400,Below Grade
-71.0744688,42.34857389,14076.30116,YWCA LOT,140 Clarendon St,"Clarendon Residences, LLC","140 Clarendon Street, Boston, MA 02116",self,,Carmen Schweizer,5,Surface Parking
-71.07103113,42.34850373,10865.84497,PAYETTE LOT,40 Isabella St,,,,,Carmen Schweizer,26,Surface Parking
-71.07132133,42.34939508,9286.052174,,,,,,,Kevin Kusina,197,Below Grade
-71.0754131,42.34682426,20006.78833,131 DARTMOUTH ST,131 Dartmouth St,,,,,Carmen Schweizer,730,Below Grade
-71.0582437,42.36653697,3823.714736,RUGGIERO LOT,181-183 N Washington St,,,,,Carmen Schweizer,7,Surface Parking
-71.0683086,42.35205793,53481.96474,THE FOUR SEASONS HOTEL GARAGE,200 Boylston St # HOTEL,"Boston Plaza Hotel Associates, Fine & Ambrogne","133 Federal Street, Boston MA 02110",,"Residents, hotel guests, patrons, staff",Carmen Schweizer,48,Below Grade
-71.05791827,42.36777692,31631.03853,585 COMMERCIAL ST LOT,585 Commercial St,,,,,Carmen Schweizer,38,Surface Parking
-71.07861241,42.34835319,11494.6329,25 HUNTINGTON AVENUE,47-51 Huntington Ave,Huntington Associates LLC c/o Raymond Property Company LLC,"306 Dartmouth Street, Boston, MA 02116",,"General Public, Employees",Carmen Schweizer,160,Below Grade
-71.04913974,42.36295739,275420.2595,LEWIS WHARF,45 Lewis Wharf,Lewis Wharf Parking Trust,"47 Thorndike Street, Cambridge, MA 02141",,"General public, tenants",Carmen Schweizer,184,Surface Parking
-71.06445779,42.36199794,34904.43758,STANIFORD ST LOT,20 Staniford St,,,,,Carmen Schweizer,23,Surface Parking
-71.06660994,42.36180893,22169.36339,Charles River Plaza,161-209 Cambridge St,"DIV Charles River Limited Partnership, c/o The Davis Companies","One Appleton Street, Boston, MA 02116",,,Carmen Schweizer,954,Below Grade
-71.06773604,42.36185139,1558.007827,AMBULATORY CARE LOT,23-25 N Anderson St,,,,,Carmen Schweizer,73,Surface Parking
-71.08211747,42.34908636,6936.048235,,,,,,,Kevin Kusina,84,Below Grade
-71.07130629,42.36058044,15481.89472,CHARLES ST LOT,170 Charles St,,,,,Carmen Schweizer,40,Surface Parking
-71.05363931,42.35258371,241804.2403,FEDERAL RESERVE BANK,556-624 Atlantic Ave,,,,,Carmen Schweizer,185,Below Grade
-71.05749307,42.35300227,32894.98355,125 Summer Street,125 Summer St,"Perry/Jaymont Venture, c/o Jaymont Properties Incorporated","260 Franklin Street, Boston, Massachusetts 02110",,,Carmen Schweizer,350,Below Grade
-71.07193737,42.34820201,11444.67277,Columbus Center,0 Berkeley St,,,"Valet, self",,Kevin Kusina,50,Surface Parking
-71.07042011,42.34731709,24595.62006,GREATER BOSTON COMMUNITY DEVELOPMENT,95 BERKELEY ST,The Community Builders,"95 Berkeley Street, Boston, MA 02116",,Residents,Carmen Schweizer,36,Below Grade
-71.07348586,42.34815805,9432.573477,STANHOPE ST LOT,0 Clarendon St,,,,,Carmen Schweizer,50,Surface Parking
-71.07617148,42.34629231,143492.0895,DARTMOUTH ST GARAGE,128 Dartmouth St,,,,,Carmen Schweizer,698,Below Grade
-71.07321325,42.34155597,6114.314242,VIVIENDAS LA VICTORIA 2,10 San Juan St,E.T.C. Development Corporation,"405 Shawmut Avenue, Boston, MA 02118",,Residents,Carmen Schweizer,55,Surface Parking
